State,City,Vulnerability Management,Vulnerability Analyst,Vulnerability Specialist,Incident Specialist,Incident Responder,Incident Analyst,Malware analyst,Reverse engineer,Threat analyst,Identity and access management specialist,SOC analyst,SOC engineer,Application specialist,Application engineer,Application Support,Server administrator,PEN tester,Systems investigator,City Total,State Total
New Jersey,West New York,368,38,26,0,2,5,0,62,3,19,9,28,8,0,7,2,103,3,683,13136
California,San Jose,131,232,10,0,116,3,0,1,2,9,25,1,3,0,3,60,86,0,682,64782
New Jersey,Passaic,363,38,27,0,2,5,0,62,3,19,9,28,8,0,7,2,105,3,681,8567
New Jersey,Hoboken,365,38,27,0,2,5,0,62,3,19,9,28,8,0,7,2,102,3,680,4490
Washington,Shoreline,112,63,4,0,116,1,0,13,1,14,3,83,181,0,5,36,47,0,679,10128
Texas,Grand Prairie,176,35,12,0,193,2,0,36,2,3,4,21,9,0,5,95,83,0,676,10433
California,South Gate,213,35,73,1,137,34,0,1,2,9,19,33,6,0,2,64,46,0,675,71813
New Jersey,Paterson,359,36,26,0,2,5,0,62,3,19,9,28,8,0,7,2,105,3,674,9241
California,Lynwood,215,35,73,1,139,34,0,1,2,10,0,35,6,0,2,66,50,0,669,38618
New York,New York,359,36,24,0,2,5,0,63,3,19,9,28,6,0,8,2,102,3,669,3872
Washington,Renton,117,65,3,0,125,1,0,2,1,15,3,83,197,0,5,0,49,0,666,7951
Washington,Edmonds,110,63,4,0,113,1,0,13,1,13,3,83,174,0,5,36,47,0,666,3223
California,Martinez,98,29,11,0,108,2,0,22,2,10,23,68,168,0,4,46,72,0,663,39578
California,Campbell,123,227,10,0,109,3,0,1,2,9,25,1,3,0,3,61,77,0,654,9628
New Jersey,Union City,368,38,27,0,2,5,0,62,3,19,9,0,8,0,7,2,101,3,654,12238
New York,Mount Vernon,348,32,27,0,2,4,0,59,3,17,8,28,6,0,7,2,106,3,652,2557
Texas,Bedford,168,28,13,0,187,2,0,32,1,3,4,19,9,0,5,94,83,0,648,2618
New York,New Rochelle,348,31,29,0,2,4,0,55,3,17,8,25,6,0,7,2,106,3,646,3203
Washington,Bremerton,102,62,3,0,106,1,0,2,1,15,3,83,181,0,5,36,45,0,645,2042
California,El Monte,197,34,62,1,134,38,0,1,2,9,19,29,5,0,1,64,47,0,643,21968
California,Dublin,150,157,10,0,135,3,0,1,2,14,1,1,2,0,6,71,88,0,641,20685
