State,City,Vulnerability Management,Vulnerability Analyst,Vulnerability Specialist,Incident Specialist,Incident Responder,Incident Analyst,Malware analyst,Reverse engineer,Threat analyst,Identity and access management specialist,SOC analyst,SOC engineer,Application specialist,Application engineer,Application Support,Server administrator,PEN tester,Systems investigator,City Total,State Total
Illinois,Bartlett,109,34,17,0,94,38,0,13,0,9,4,22,2,0,2,42,29,1,416,1659
Massachusetts,Beverly,156,66,22,0,2,38,0,2,1,22,4,49,3,0,2,1,48,0,416,675
Michigan,Westland,87,105,10,0,84,10,0,9,1,13,1,22,9,0,39,1,25,0,416,7800
Minnesota,Plymouth,121,31,9,0,89,4,0,9,4,6,9,16,4,0,41,34,39,0,416,6599
Minnesota,Burnsville,123,28,9,0,89,4,0,9,4,6,9,16,4,0,42,35,38,0,416,2017
Texas,Mansfield,81,13,8,0,109,21,0,16,1,17,1,12,5,0,3,63,65,0,415,15184
Illinois,Chicago,219,33,22,0,1,3,0,2,0,13,5,29,2,0,5,2,77,1,414,4950
Florida,Jacksonville,27,315,5,0,30,1,0,1,0,1,1,1,0,0,22,1,8,0,413,6272
Minnesota,Eden Prairie,121,27,9,0,89,4,0,9,4,6,9,16,4,0,41,35,39,0,413,3360
Illinois,Hanover Park,118,35,19,0,104,41,0,17,0,9,4,23,2,0,2,1,34,1,410,9034
Michigan,Novi,92,112,13,0,85,10,0,9,1,13,1,0,9,0,39,1,25,0,410,3991
Massachusetts,Quincy,154,64,23,0,2,42,0,2,1,21,4,42,5,0,2,1,45,0,408,9596
Minnesota,Minnetonka,118,26,9,0,88,4,0,9,4,6,9,16,4,0,41,35,39,0,408,5976
California,Orange,168,36,76,0,1,19,0,32,2,4,9,1,6,0,1,28,24,0,407,48823
California,Watsonville,14,11,146,0,15,5,0,1,0,2,8,192,1,0,2,7,3,0,407,79580
Rhode Island,Providence,21,9,306,0,15,8,0,4,2,5,4,6,2,0,6,11,8,0,407,1297
Rhode Island,East Providence,21,7,307,0,15,8,0,4,2,5,4,6,2,0,6,11,8,0,406,781
Texas,Garland,209,34,11,0,1,2,0,40,2,4,5,1,8,0,5,1,82,0,405,9529
Utah,Ogden,3,170,122,0,13,1,0,8,0,3,1,5,35,0,22,17,5,0,405,2222
Utah,Roy,3,171,121,0,13,1,0,8,0,3,1,5,35,0,22,17,5,0,405,3496
Minnesota,Coon Rapids,115,31,9,0,88,5,0,0,4,6,10,16,4,0,42,35,39,0,404,2421
Minnesota,Maple Grove,114,30,8,0,86,4,0,9,4,6,9,16,4,0,41,34,39,0,404,4741
Minnesota,Maplewood,116,28,9,0,88,5,0,9,4,5,10,13,4,0,41,36,36,0,404,5145
Texas,Plano,208,34,11,0,1,2,0,40,2,4,5,1,8,0,5,1,82,0,404,18845
California,Glendora,100,17,17,1,78,23,0,15,2,6,14,15,1,0,60,33,21,0,403,27153
Maryland,Annapolis,106,28,2,0,2,8,0,31,1,64,4,32,10,0,19,9,87,0,403,403
Texas,Irving,216,43,15,0,1,4,0,0,2,4,5,1,9,0,6,1,94,0,401,12816
California,Rancho Palos Verdes,124,29,36,1,82,0,0,1,2,8,12,23,6,0,2,47,27,0,400,56803
Minnesota,Blaine,114,28,9,0,85,5,0,9,4,5,10,13,4,0,40,35,39,0,400,798
Massachusetts,Westfield,19,4,316,0,12,9,0,3,0,4,2,5,13,0,4,4,4,0,399,12525
Minnesota,Apple Valley,123,27,9,0,82,3,0,9,4,6,6,16,4,0,36,35,38,0,398,398
Washington,Tacoma,73,40,2,0,59,1,0,2,1,9,3,39,137,0,1,0,31,0,398,10635
Illinois,Streamwood,115,34,19,0,100,40,0,17,0,8,4,22,2,0,2,1,32,1,397,15587
Texas,Rowlett,204,32,11,0,1,2,0,40,2,4,5,1,8,0,5,1,81,0,397,20620
California,Fountain Valley,157,46,76,1,1,14,0,32,2,5,9,1,7,0,1,23,20,0,395,23332
Illinois,Palatine,117,35,19,0,98,42,0,16,0,5,4,18,2,0,2,1,35,1,395,12893
Colorado,Aurora,115,22,10,0,127,1,0,17,2,9,5,1,9,0,3,43,29,0,393,828
Colorado,Colorado Springs,14,5,194,0,55,7,0,10,0,6,1,8,4,0,3,67,18,0,392,2471
Arizona,Phoenix,128,7,8,0,0,25,0,0,1,1,2,38,1,0,75,48,55,0,389,4484
Colorado,Broomfield,114,27,10,0,123,1,0,21,2,6,6,1,9,0,4,40,25,0,389,1543
California,Huntington Beach,152,45,76,1,1,15,0,32,2,3,9,1,7,0,1,22,20,0,387,29841
Iowa,Ankeny,26,4,276,0,22,1,0,1,0,4,1,1,32,0,8,8,3,0,387,670
Colorado,Littleton,113,21,10,0,125,1,0,16,2,9,5,1,9,0,3,43,28,0,386,4528
Minnesota,Woodbury,112,26,9,0,84,5,0,9,0,5,10,11,4,0,40,35,35,0,385,9043
Texas,Houston,115,39,12,0,107,32,0,17,1,7,1,14,5,0,2,1,30,1,384,11680
Texas,Allen,200,34,10,0,1,2,0,40,0,4,5,1,6,0,5,1,73,0,382,541
California,Santa Ana,155,36,76,0,1,15,0,31,2,4,9,1,6,0,1,22,21,0,380,68426
California,Tracy,10,160,158,0,1,6,0,3,2,1,4,2,14,0,10,1,8,0,380,75451
Illinois,Orland Park,207,37,12,0,1,3,0,2,0,12,2,24,2,0,5,2,70,1,380,12498
Illinois,Elgin,89,32,17,0,80,34,0,7,0,6,4,19,1,0,29,36,25,1,380,7227
Minnesota,Brooklyn Park,116,31,9,0,88,5,0,10,4,6,10,16,4,0,42,0,39,0,380,1601
California,Tustin,150,36,76,0,1,16,0,31,2,2,9,1,6,1,1,24,22,0,378,76186
Arizona,Sierra Vista,2,146,77,0,46,2,0,8,0,4,4,0,20,0,12,36,20,0,377,5496
Louisiana,Kenner,19,2,332,0,13,3,0,0,0,1,2,0,1,0,1,0,3,0,377,863
California,Morgan Hill,70,149,5,0,42,3,0,14,2,3,9,1,3,0,50,0,25,0,376,43152
Texas,Mesquite,200,30,10,0,1,1,0,32,2,4,4,1,8,0,5,1,77,0,376,15848
California,Burbank,124,26,11,1,1,31,0,1,2,9,17,40,5,0,2,57,48,0,375,8802
Rhode Island,Cranston,21,9,278,0,12,8,0,4,2,5,4,6,2,0,6,10,8,0,375,375
Louisiana,New Orleans,19,2,325,0,13,3,0,0,0,1,2,1,1,0,1,3,3,0,374,1423
Massachusetts,Methuen,94,47,6,0,55,23,0,6,1,10,1,56,2,0,51,1,21,0,374,7864
California,Costa Mesa,149,35,76,0,1,14,0,31,2,2,9,1,6,1,1,21,20,0,369,14771
Michigan,Southfield,80,105,12,0,68,10,0,6,1,12,1,19,7,0,26,1,20,0,368,5743
Michigan,Royal Oak,80,104,12,0,68,10,0,6,1,12,1,19,7,0,26,1,20,0,367,5357
Colorado,Centennial,109,17,10,0,117,1,0,14,2,9,5,1,9,0,3,42,27,0,366,2079
Michigan,Taylor,74,92,9,0,74,9,0,8,1,12,1,21,8,0,34,1,22,0,366,6673
California,Irvine,143,34,76,0,1,14,0,31,3,2,9,1,5,1,1,21,21,0,363,31640
Michigan,Troy,79,103,11,0,67,10,0,6,1,12,1,19,7,0,25,1,20,0,362,7035
Texas,Keller,86,19,8,0,109,2,0,19,1,2,1,7,4,0,2,59,43,0,362,13178
California,Chino Hills,135,36,60,1,1,19,0,32,2,5,10,1,5,0,1,27,26,0,361,12175
Illinois,Tinley Park,196,32,12,0,1,3,0,2,0,11,2,24,2,0,5,2,68,1,361,15948
Indiana,Gary,118,16,10,0,127,3,0,2,0,6,2,15,1,0,3,2,55,1,361,1282
Michigan,Pontiac,75,106,11,0,67,10,0,6,1,11,1,19,7,0,26,1,20,0,361,4352
Minnesota,Shakopee,114,23,9,0,84,2,0,9,4,6,9,16,4,0,41,0,37,0,358,7511
Michigan,Dearborn,74,97,9,0,68,10,0,6,1,12,1,19,8,0,26,1,20,0,352,717
California,Newport Beach,145,33,76,0,1,12,0,31,2,2,0,1,5,1,1,21,20,0,351,45539
Florida,Boynton Beach,17,1,273,0,22,4,0,2,0,2,2,4,1,0,9,6,7,0,350,1857
Michigan,Warren,77,95,8,0,67,10,0,6,1,12,1,19,7,0,25,1,20,0,349,7384
Iowa,West Des Moines,26,3,246,0,20,1,0,1,0,1,1,1,32,0,7,7,2,0,348,3292
Iowa,Urbandale,26,3,246,0,20,1,0,1,0,1,1,0,32,0,7,7,2,0,347,2846
Iowa,Des Moines,26,3,243,0,20,1,0,1,0,1,1,1,32,0,7,7,2,0,345,1946
Arizona,Apache Junction,65,5,4,0,57,5,0,8,1,3,1,21,88,0,34,20,32,0,344,344
Missouri,St. Louis,69,10,4,0,107,6,0,20,1,8,5,18,6,0,20,44,26,0,344,2323
California,Lancaster,1,126,117,1,20,1,0,1,3,2,17,1,2,0,9,21,20,0,342,35493
Florida,Ocoee,72,14,3,0,47,12,0,1,0,2,1,10,109,0,22,18,31,0,342,10276
Florida,Winter Garden,72,14,3,0,47,12,0,1,0,2,1,10,109,0,22,18,31,0,342,16096
Illinois,Carpentersville,89,27,19,0,73,33,0,10,0,8,4,17,1,0,31,1,28,1,342,4352
Texas,Pasadena,101,35,12,0,96,24,0,16,1,7,1,14,5,0,2,1,26,1,342,17434
Arizona,Peoria,104,4,8,0,0,24,0,17,1,1,2,31,1,0,62,43,43,0,341,4095
Florida,Orlando,72,14,3,0,47,12,0,1,0,2,1,10,109,0,21,18,31,0,341,10617
Texas,Haltom City,72,19,7,0,96,2,0,17,2,8,17,6,3,0,1,50,41,0,341,11236
Texas,Pearland,99,35,12,0,97,23,0,16,1,7,1,14,5,0,2,1,27,1,341,17775
Florida,Apopka,72,14,3,0,48,10,0,1,0,2,0,8,109,0,22,19,31,0,339,676
Utah,Bountiful,39,8,1,0,66,1,0,0,0,8,2,7,109,0,46,35,17,0,339,339
North Carolina,Fayetteville,9,3,151,0,10,1,0,1,0,1,3,1,4,0,102,44,8,0,338,2174
South Carolina,Columbia,18,5,258,0,26,1,0,0,0,0,3,3,3,0,6,13,2,0,338,428
Florida,Altamonte Springs,71,14,3,0,47,12,0,1,0,2,1,10,106,0,22,18,30,0,337,337
Texas,Sugar Land,104,28,12,0,93,27,0,16,1,6,1,14,4,0,1,1,28,1,337,22326
California,Poway,57,24,7,0,49,4,0,1,2,5,18,119,16,1,1,2,30,0,336,56020
California,Palm Springs,252,2,45,0,2,8,0,0,0,1,1,1,7,0,3,2,11,0,335,50392
Rhode Island,Warwick,20,4,255,0,11,8,0,4,1,3,1,3,2,0,6,10,7,0,335,1632
Texas,Wylie,167,28,10,0,1,2,0,36,2,4,5,1,6,0,5,1,67,0,335,24037
Kentucky,Louisville/Jefferson County,20,5,247,0,13,2,0,2,0,1,2,2,28,0,2,5,5,0,334,915
Michigan,Rochester Hills,72,91,11,0,64,10,0,6,1,9,1,16,7,0,25,1,20,0,334,4716
Texas,Missouri City,106,30,12,0,99,22,0,17,1,6,1,0,4,0,1,1,31,1,332,16376
California,Aliso Viejo,137,30,76,0,1,9,0,31,2,1,7,1,4,1,1,10,20,0,331,1885
Florida,Pensacola,6,80,113,0,25,8,0,6,0,5,1,1,55,0,2,21,8,0,331,11931
Massachusetts,Fall River,16,5,261,0,11,8,0,4,1,3,1,3,1,0,6,7,4,0,331,3569
New Jersey,Camden,120,24,12,0,2,26,0,14,3,6,11,13,4,0,1,58,37,0,331,1094
North Carolina,High Point,20,7,256,0,21,6,0,1,0,1,1,1,4,0,6,5,2,0,331,3381
Utah,Orem,26,1,211,0,18,1,0,5,0,4,2,1,34,0,14,9,5,0,331,2553
Ohio,Middletown,43,29,5,0,43,7,0,11,1,15,1,7,93,0,42,30,3,0,330,4493
Colorado,Parker,100,12,9,0,106,1,0,12,2,9,5,1,7,0,3,39,23,0,329,5985
Illinois,Naperville,89,29,13,0,74,34,0,12,0,5,3,21,2,0,2,26,16,1,327,11151
Colorado,Boulder,75,23,8,0,92,1,0,18,2,5,1,40,6,0,2,30,23,0,326,1154
New York,White Plains,160,13,14,0,2,4,0,27,2,8,4,13,1,0,7,2,66,3,326,5793
North Carolina,Charlotte,96,24,4,0,93,11,0,13,2,6,3,2,2,0,1,33,36,0,326,1270
Massachusetts,Brockton,124,48,21,0,2,31,0,2,1,13,3,32,4,0,2,1,41,0,325,1480
Minnesota,Lakeville,111,20,7,0,75,2,0,8,4,5,4,15,4,0,0,31,37,0,323,4104
New Jersey,Sayreville,113,23,6,0,81,2,0,0,3,4,2,10,4,0,1,32,39,3,323,11415
California,Rancho Santa Margarita,130,28,77,0,1,9,0,31,2,1,7,1,4,1,1,10,19,0,322,57125
Michigan,Sterling Heights,72,85,5,0,64,10,0,6,1,9,1,16,7,0,25,1,20,0,322,6307
California,Mission Viejo,128,29,76,0,1,9,0,31,2,1,7,1,4,1,1,10,19,0,320,40754
Massachusetts,New Bedford,1,127,145,0,6,4,0,4,1,1,1,3,19,0,2,3,1,0,318,8182
North Carolina,Hickory,250,1,38,0,1,3,0,2,0,1,3,1,2,0,7,7,2,0,318,3050
Texas,Rockwall,161,26,9,0,1,2,0,30,2,4,5,1,6,0,5,1,65,0,318,19656
Missouri,Florissant,75,10,4,0,97,3,0,11,1,8,5,18,5,0,18,38,24,0,317,883
California,Laguna Niguel,126,28,76,0,1,8,0,31,2,1,7,1,4,1,1,10,18,0,315,34145
Indiana,Jeffersonville,20,4,243,0,0,2,0,2,0,1,2,2,27,0,2,5,5,0,315,2337
California,Lake Forest,139,32,76,0,1,9,0,0,3,1,9,1,4,1,1,17,20,0,314,34556
Michigan,Lincoln Park,60,84,6,0,63,9,0,6,1,12,1,19,8,0,24,1,20,0,314,2921
Michigan,Detroit,69,94,6,0,67,10,0,6,1,12,1,19,7,0,0,1,20,0,313,1458
Utah,Draper,53,9,1,0,65,1,0,6,0,9,2,1,93,0,34,24,15,0,313,652
Indiana,Muncie,248,15,1,0,1,0,0,0,0,1,1,7,33,0,1,3,1,0,312,3400
Louisiana,Baton Rouge,12,5,250,0,10,11,0,0,0,2,0,0,2,0,2,5,11,0,310,363
Ohio,Grove City,29,15,6,0,67,14,0,12,0,5,5,3,82,0,31,22,19,0,310,2817
Ohio,Westerville,29,15,6,0,67,12,0,12,0,5,5,5,83,0,30,22,19,0,310,6154
Utah,Riverton,51,8,1,0,65,1,0,6,0,9,2,1,93,0,34,24,15,0,310,3091
California,Santee,51,20,7,0,44,4,0,1,2,5,18,111,16,1,1,2,26,0,309,70951
Florida,Greenacres,15,1,237,0,22,3,0,2,0,1,1,2,1,0,11,6,7,0,309,5082
Pennsylvania,Pittsburgh,122,14,8,0,58,14,0,1,0,1,0,9,2,0,31,32,16,0,308,933
Tennessee,Memphis,23,1,229,0,16,9,0,2,0,2,3,2,1,0,11,6,3,0,308,2515
Florida,Kissimmee,61,13,2,0,44,12,0,1,0,2,1,10,95,0,19,16,31,0,307,6760
Tennessee,Bartlett,23,1,229,0,16,9,0,2,0,2,3,0,1,0,11,6,3,0,306,306
Tennessee,Germantown,23,1,229,0,16,9,0,0,0,2,3,2,1,0,11,6,3,0,306,1609
Arizona,Surprise,63,2,4,0,77,21,0,10,1,1,1,27,1,0,43,29,24,0,304,5800
California,Chino,79,23,32,0,63,16,0,30,2,2,9,1,4,0,1,21,21,0,304,11814
Tennessee,Collierville,23,1,225,0,16,9,0,2,0,2,3,2,1,0,11,6,3,0,304,1101
Texas,Frisco,156,32,6,0,1,4,0,34,2,4,4,1,4,0,3,1,52,0,304,8976
California,National City,48,20,4,0,43,4,0,1,2,5,18,111,16,1,1,2,26,0,302,44377
California,San Diego,48,20,4,0,43,4,0,1,2,5,18,111,16,1,1,2,26,0,302,62534
Arizona,Goodyear,79,4,4,0,86,21,0,13,1,1,1,27,1,0,0,34,29,0,301,2868
California,El Cajon,48,19,4,0,43,4,0,1,2,5,18,111,16,1,1,2,26,0,301,21259
California,La Mesa,48,19,4,0,43,4,0,1,2,5,18,111,16,1,1,2,26,0,301,32525
California,Cathedral City,235,2,43,0,2,8,0,0,0,0,1,1,6,0,1,1,1,0,301,10764
Florida,Wellington,13,1,228,0,22,2,0,2,0,1,3,4,1,0,11,6,7,0,301,15297
Minnesota,St. Cloud,217,28,48,0,1,1,0,0,0,1,0,0,1,0,0,1,3,0,301,7812
Illinois,Calumet City,161,21,12,0,1,3,0,2,0,7,2,19,2,0,5,2,62,1,300,3573
Missouri,St. Charles,74,10,4,0,92,3,0,8,1,5,5,18,5,0,19,35,21,0,300,1915
California,Chula Vista,48,18,4,0,43,4,0,1,1,5,18,111,16,1,1,2,26,0,299,12474
Utah,Sandy,49,8,1,0,62,1,0,4,0,9,2,1,91,0,31,23,15,0,297,4068
Texas,Fort Worth,64,16,7,0,83,2,0,12,1,8,10,5,3,0,1,46,38,0,296,8391
Texas,Austin,123,50,7,0,0,1,0,2,0,14,22,0,8,0,2,37,30,0,296,1711
Utah,South Jordan,48,8,1,0,62,1,0,4,0,9,2,1,90,0,31,23,15,0,295,4363
Illinois,Buffalo Grove,140,33,21,0,1,3,0,18,0,8,5,18,1,0,2,1,42,1,294,3273
North Carolina,Raleigh,115,15,8,1,1,3,0,26,1,4,2,1,4,0,72,2,39,0,294,4340
Massachusetts,Chicopee,15,4,233,0,6,9,0,3,0,3,2,0,10,0,0,3,4,0,292,2757
Delaware,Wilmington,101,15,11,0,65,13,0,15,3,8,12,9,4,0,2,1,32,0,291,422
Ohio,Dublin,29,15,6,0,68,14,0,12,0,5,5,5,82,0,31,0,19,0,291,1904
Connecticut,Stamford,48,11,10,0,54,11,0,6,2,1,4,6,58,0,29,26,21,3,290,1966
North Carolina,Apex,116,15,9,1,1,3,0,24,1,4,2,1,4,0,69,2,38,0,290,290
North Carolina,Cary,116,15,9,1,1,3,0,24,1,4,2,1,4,0,69,2,38,0,290,724
Ohio,Columbus,29,15,6,0,67,14,0,12,0,5,5,5,82,0,31,0,19,0,290,1294
Pennsylvania,Philadelphia,139,31,14,0,2,0,0,18,3,6,14,13,5,0,2,1,42,0,290,625
Michigan,Wyoming,12,8,196,0,9,2,0,1,0,8,4,6,24,0,7,4,8,0,289,8089
North Carolina,Durham,117,13,9,1,1,3,0,24,1,4,2,1,4,0,69,2,38,0,289,1836
Michigan,Kentwood,13,8,200,0,9,2,0,1,0,8,4,6,25,0,0,4,8,0,288,2465
Utah,Taylorsville,47,8,1,0,62,1,0,4,0,5,2,1,88,0,31,23,15,0,288,4938
Utah,West Valley City,45,8,1,0,61,1,0,3,0,5,2,8,88,0,30,22,14,0,288,5498
California,Palmdale,1,91,116,1,18,2,0,1,3,2,7,1,1,0,8,20,15,0,287,50679
Florida,Panama City,178,51,36,0,7,1,0,0,0,1,0,1,2,0,0,8,1,0,286,11428
Florida,West Palm Beach,13,1,215,0,21,2,0,2,0,1,2,4,1,0,11,5,7,0,285,15582
New Jersey,New Brunswick,101,20,6,0,62,1,0,13,3,2,1,10,4,0,1,26,32,3,285,7176
Massachusetts,Holyoke,15,4,219,0,6,10,0,3,0,3,2,3,11,0,3,3,2,0,284,4289
California,Encinitas,56,23,7,0,1,4,0,1,1,5,18,119,15,1,1,1,30,0,283,22438
Indiana,Lafayette,222,1,41,0,2,0,0,0,0,2,1,7,4,0,0,2,1,0,283,2818
Iowa,Ames,213,1,55,0,3,1,0,0,0,3,1,1,1,0,1,2,1,0,283,283
California,Hanford,213,19,37,0,1,2,0,1,0,1,0,0,5,0,0,0,3,0,282,27435
Florida,St. Cloud,50,12,2,0,40,11,0,1,0,2,1,10,92,0,19,16,25,0,281,13773
Texas,Friendswood,85,29,8,0,84,21,0,16,1,5,1,0,4,0,2,1,23,1,281,8672
Florida,Sanford,64,12,3,0,42,9,0,1,0,2,1,8,96,0,14,0,27,0,279,13372
Maine,Portland,12,130,107,0,5,3,0,1,0,2,1,0,13,0,1,2,1,0,278,278
New York,Rochester,8,8,206,0,7,1,0,1,0,0,1,9,28,0,4,2,2,0,277,4205
North Carolina,Concord,73,19,1,0,70,6,0,8,1,2,1,2,2,0,38,25,29,0,277,1547
Kansas,Wichita,12,121,110,0,13,4,0,0,0,1,0,0,10,0,5,0,0,0,276,1420
Indiana,Hammond,160,21,12,0,1,3,0,2,0,7,2,0,1,0,3,2,60,1,275,1779
Utah,Salt Lake City,39,8,1,0,62,1,0,3,0,5,2,7,84,0,29,21,13,0,275,3771
Michigan,Roseville,65,59,5,0,59,8,0,5,1,9,1,15,6,0,21,1,19,0,274,4990
West Virginia,Huntington,216,28,21,0,2,1,0,0,0,0,0,0,2,0,1,1,2,0,274,392
California,Eastvale,97,31,51,0,1,0,0,30,3,3,9,1,4,0,1,20,22,0,273,20958
California,Palm Desert,218,2,36,0,1,7,0,0,0,0,1,1,4,0,0,0,2,0,272,50057
Iowa,Cedar Rapids,6,1,204,0,9,1,0,0,0,4,3,3,21,0,8,5,7,0,272,1024
New Hampshire,Nashua,55,40,3,0,16,16,0,22,1,8,5,45,1,0,28,23,9,0,272,435
Utah,West Jordan,48,8,1,0,62,1,0,4,0,9,2,1,90,0,31,0,15,0,272,5210
Missouri,Chesterfield,77,10,5,0,92,3,0,8,1,5,5,18,5,0,19,0,21,0,269,463
North Carolina,Kannapolis,72,18,1,0,68,6,0,8,1,2,1,2,2,0,37,24,27,0,269,4046
Oklahoma,Tulsa,15,8,190,0,21,2,0,1,0,1,2,0,1,0,5,9,14,0,269,1143
Florida,Homestead,19,81,109,0,6,3,0,1,1,1,4,4,15,0,9,2,12,0,267,5859
South Carolina,Rock Hill,84,17,4,0,74,7,0,11,2,3,2,7,2,0,1,25,28,0,267,1309
Texas,San Marcos,8,7,2,0,2,1,0,12,0,24,1,139,7,0,61,0,2,0,266,21844
Illinois,Belleville,51,7,2,0,79,5,0,19,1,5,4,0,6,0,20,42,24,0,265,1924
North Carolina,Gastonia,83,21,4,0,68,8,0,10,1,2,2,8,2,0,29,0,27,0,265,2439
Arizona,Avondale,79,4,4,0,0,21,0,13,1,1,1,27,1,0,49,34,29,0,264,608
California,Indio,216,2,34,0,0,7,0,0,0,0,0,0,4,0,0,0,1,0,264,30735
California,Visalia,205,16,30,0,1,2,0,1,0,0,0,0,2,0,0,0,5,0,262,78298
Florida,North Port,198,16,33,0,4,1,0,0,0,1,0,0,2,0,2,1,4,0,262,9710
California,Pomona,75,13,27,1,51,17,0,3,3,3,6,8,3,0,21,18,11,0,260,55630
Texas,League City,77,25,2,0,72,23,0,15,1,5,1,11,4,0,2,1,20,1,260,14198
Oklahoma,Broken Arrow,15,9,192,0,21,2,0,1,0,1,2,0,1,0,5,9,0,0,258,258
Wisconsin,New Berlin,56,30,6,0,43,8,0,5,0,1,6,12,60,0,12,3,14,0,256,1990
California,Corona,84,28,41,0,1,16,0,30,3,3,7,1,4,0,1,14,21,0,254,14402
California,Coachella,209,2,30,0,0,7,0,0,0,0,0,0,4,0,0,0,1,0,253,13012
Illinois,Waukegan,54,19,9,0,40,10,0,5,0,6,1,9,62,0,13,1,23,1,253,16386
California,Concord,68,20,7,0,0,2,0,12,4,5,16,39,3,0,3,22,51,0,252,14148
Texas,Baytown,75,26,2,0,71,17,0,15,1,5,1,11,4,0,2,1,20,1,252,1963
Wisconsin,West Allis,56,30,6,0,42,7,0,5,0,1,6,12,59,0,12,2,14,0,252,2994
California,Tulare,194,18,29,0,1,2,0,1,0,1,0,0,2,0,0,0,3,0,251,75702
Oregon,Portland,65,46,6,0,48,1,0,10,0,2,4,1,1,0,25,23,19,0,251,1605
Oregon,Tigard,67,46,6,0,47,1,0,10,0,2,4,1,1,0,25,22,19,0,251,2136
Oregon,Hillsboro,65,46,6,0,48,1,0,10,0,2,4,1,1,0,25,22,19,0,250,934
Washington,Vancouver,64,46,6,0,48,1,0,10,0,2,4,1,1,0,25,23,19,0,250,10885
North Carolina,Winston-Salem,16,5,193,0,16,5,0,1,0,1,3,1,2,0,2,2,2,0,249,4879
Colorado,Loveland,11,5,145,0,13,15,0,1,2,10,2,13,23,0,3,4,1,0,248,5218
Illinois,Joliet,46,17,4,0,38,23,0,4,0,4,4,8,69,0,9,11,8,1,246,9714
California,San Jacinto,1,117,67,0,1,3,0,29,0,1,1,1,19,1,1,1,2,0,245,64100
Indiana,Indianapolis,48,12,9,0,42,2,0,2,0,4,1,12,60,0,18,12,21,0,243,2022
Oregon,Beaverton,67,46,6,0,48,1,0,0,0,2,4,1,1,0,25,23,19,0,243,275
Massachusetts,Haverhill,60,43,3,0,27,16,0,2,1,9,1,27,1,0,40,1,11,0,242,4005
Michigan,St. Clair Shores,54,52,5,0,55,7,0,5,1,4,1,14,4,0,20,1,19,0,242,5985
Wisconsin,Wauwatosa,51,26,5,0,42,7,0,5,0,1,6,12,59,0,12,2,14,0,242,2742
Indiana,Lawrence,48,12,7,0,42,2,0,2,0,4,1,12,60,0,18,12,21,0,241,3059
Texas,Amarillo,164,2,49,0,5,3,0,1,0,2,1,0,6,0,2,1,4,0,240,781
Texas,Killeen,5,50,86,0,6,2,0,4,0,10,4,49,3,0,15,5,1,0,240,13418
Indiana,Fishers,47,12,5,0,42,2,0,2,0,4,1,12,60,0,18,12,21,0,238,893
Indiana,Noblesville,46,12,5,0,43,2,0,2,0,4,1,12,59,0,19,12,21,0,238,3638
Ohio,Fairfield,46,23,5,0,48,9,0,11,1,7,1,4,47,0,19,14,3,0,238,2465
Ohio,Hamilton,46,25,4,0,49,9,0,11,1,7,1,4,43,0,20,15,3,0,238,3055
Wisconsin,Milwaukee,55,28,6,0,42,7,0,6,0,1,6,11,59,0,0,3,14,0,238,1734
Iowa,Iowa City,3,1,185,0,8,1,0,0,0,2,3,2,15,0,6,4,7,0,237,2352
Kentucky,Covington,45,23,5,0,49,11,0,11,1,7,1,4,44,0,19,14,3,0,237,432
Wisconsin,Brookfield,47,25,4,0,40,8,0,6,0,1,6,12,58,0,13,2,15,0,237,411
Wisconsin,Greenfield,56,30,6,0,43,0,0,6,0,1,6,12,59,0,0,3,15,0,237,978
Connecticut,Norwalk,36,11,10,0,45,8,0,4,2,1,2,1,56,0,21,21,15,3,236,1494
Ohio,Cincinnati,45,23,5,0,48,11,0,11,1,7,1,4,44,0,19,14,3,0,236,582
Rhode Island,Woonsocket,52,26,3,0,40,10,0,7,2,13,10,26,6,0,17,15,9,0,236,1868
Texas,Conroe,9,5,178,0,15,2,0,1,1,6,1,0,9,0,3,4,1,1,236,4685
Wisconsin,La Crosse,176,20,34,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,236,1425
Michigan,Ann Arbor,43,71,8,0,33,3,0,5,1,9,5,8,5,0,18,19,7,0,235,235
Indiana,Carmel,46,12,5,0,42,2,0,0,0,4,1,12,59,0,18,12,21,0,234,414
California,Hemet,2,113,60,0,1,3,0,30,0,1,1,1,17,1,1,0,2,0,233,29194
Illinois,Aurora,62,25,1,0,47,29,0,5,0,6,7,10,1,0,14,15,10,1,233,1243
Minnesota,Mankato,174,39,0,0,2,3,0,1,0,3,0,0,7,0,1,0,3,0,233,4337
Ohio,Strongsville,41,27,10,0,32,9,0,3,0,2,2,1,56,0,20,15,15,0,233,5244
Massachusetts,Leominster,48,20,2,0,29,7,0,3,1,8,7,62,4,0,26,9,6,0,232,5044
Utah,Murray,47,8,1,0,0,1,0,4,0,9,2,1,90,0,31,23,15,0,232,1817
California,Upland,37,7,11,0,22,12,0,1,2,1,20,2,88,0,14,10,4,0,231,77326
Texas,Tyler,178,0,41,0,0,4,0,0,0,1,0,0,4,0,0,0,1,0,229,23361
Texas,Georgetown,59,18,5,0,19,2,0,5,0,6,4,62,3,0,22,13,10,0,228,9757
Utah,Provo,19,1,142,0,12,3,0,4,0,4,2,1,21,0,10,6,3,0,228,2781
Indiana,Greenwood,41,10,9,0,37,2,0,1,0,4,7,11,51,0,16,12,21,0,222,1504
Oregon,Gresham,61,44,6,0,40,1,0,8,0,1,3,1,1,0,18,21,17,0,222,684
